date,temp
03.12.2022,−9
04.12.2022,−7
05.12.2022,−7
06.12.2022,−5
07.12.2022,−6
08.12.2022,−7
09.12.2022,−9
10.12.2022,−8
11.12.2022,−10
12.12.2022,−10
12.12.2022,−10
12.12.2022,−10
12.12.2022,−10
12.12.2022,−10
12.12.2022,−10
12.12.2022,−10
12.12.2022,−10
